despierto, espabilado, listo, avispado
desordeado, desorganizado, confuso, revolto
frío, frescor, fresco, frixidez
traballador, laborioso, aplicado, dilixente
gordo, obeso, orondo, gordinflon
grande, extenso, amplio, espacioso
